ano,datavotacao,orientacao,sigla,tipo,DEM,PCDOB,PDT,PEN,PHS,PMB,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PSTU,PT,PTB,PTC,PTDOB,PTN,PV,REDE,S.PART.,SD,Apoio Médio,year,month,day,weekday,hour
2013,2013-06-25 01:36:00,Sim,GOV.,PLP,0.909090909090909,1.0,0.952380952380952,1.0,1.0,0.0,0.942307692307692,0.0,0.95,1.0,0.95,1.0,0.0,1.0,1.0,0.95,1.0,1.0,0.971428571428571,0.0,1.0,1.0,0.0,0.986666666666667,0.888888888888889,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.963585434173669,2013,6,1,25,1
2012,2012-10-31 14:56:00,Sim,GOV.,MPV,0.0625,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.148148148148148,0.142857142857143,0.894736842105263,0.0,0.0,0.0,0.0,0.95,0.125,0.03125,0.0,0.0,1.0,1.0,0.0,1.0,0.0769230769230769,0.0,1.0,0.0,0.888888888888889,0.0,0.0,0.0,0.399390243902439,2012,10,2,31,14
2001,2001-05-15 19:13:00,Não,GOV.,PL,0.9,0.0,0.0,0.0,1.0,0.0,0.903225806451613,0.0,0.941176470588235,0.0,0.388888888888889,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.986111111111111,0.0,0.2,0.0,0.0,0.0,0.944444444444444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.664893617021277,2001,5,1,15,19
2012,2014-06-03 21:35:00,Não,GOV.,PLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0377358490566038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0254957507082153,2014,6,1,3,21
2003,2003-08-13 22:06:00,Sim,GOV.,PEC,0.484848484848485,1.0,0.714285714285714,0.0,0.0,0.0,0.813559322033898,1.0,0.761904761904762,1.0,0.804878048780488,0.0,0.0,0.0,0.0,0.857142857142857,1.0,0.0,0.458333333333333,0.0,1.0,0.0,0.0,0.875,0.92,0.0,0.0,0.0,0.833333333333333,0.0,0.0,0.0,0.761603375527426,2003,8,2,13,22
2003,2004-01-28 19:46:00,Sim,GOV.,MPV,0.193548387096774,1.0,1.0,0.0,0.0,0.0,0.96,0.0,0.911764705882353,1.0,0.92,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.172413793103448,0.0,0.0,0.0,0.0,1.0,0.933333333333333,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.817901234567901,2004,1,2,28,19
2016,2016-11-09 18:30:00,Não,GOV.,MPV,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.958333333333333,1.0,0.882352941176471,1.0,1.0,0.0,0.0,0.96,1.0,0.95,0.961538461538462,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.909090909090909,0.0,1.0,0.0,1.0,0.794520547945205,2016,11,2,9,18
2011,2012-03-28 21:17:00,Não,GOV.,PL,0.260869565217391,1.0,0.541666666666667,0.0,1.0,0.0,0.732142857142857,0.0,0.90625,0.1,0.40625,0.0,0.0,0.0,0.0,0.833333333333333,0.0,0.470588235294118,0.0217391304347826,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.5,0.0,0.375,0.0,0.0,0.0,0.566985645933014,2012,3,2,28,21
2007,2007-08-22 18:01:00,Sim,GOV.,MPV,0.0769230769230769,1.0,0.944444444444444,0.0,1.0,0.0,0.969230769230769,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.91304347826087,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.983050847457627,0.9375,0.0,1.0,0.0,0.888888888888889,0.0,1.0,0.0,0.831746031746032,2007,8,2,22,18
2007,2007-09-12 19:15:00,Não,GOV.,MPV,0.107142857142857,1.0,1.0,0.0,1.0,0.0,0.907692307692308,1.0,0.966666666666667,0.0,0.96551724137931,1.0,0.0,0.0,0.0,0.961538461538462,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.928571428571429,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.820289855072464,2007,9,2,12,19
